id,students,teachers,level,geoid
10168001520,337,18,EM,010630601005
10169000579,406,20,M,010950307023
10169000580,387,18,E,010950306002
10169000581,493,30,PE,010950307023
10169000582,565,36,H,010950306004
10171000588,379,21,H,010650400002
10171000589,590,36,PE,010650400002
10171002156,232,13,M,010650404002
10171002158,554,31,PE,010650404002
10171002162,294,16,H,010650404002
10171002411,269,14,M,010650400002
10172000594,479,27,H,011339658004
10172001795,808,50,PE,011339658004
10172001885,357,24,M,011339658004
10173000328,460,28,PE,011030053042
10173000596,550,41,PE,011030053032
10173000597,511,31,PE,011030053012
10173000598,527,33,M,011030053031
10173000599,1031,68,H,011030053012
10173002356,559,31,EM,011030053031
10174000600,305,26,MH,010670302002
10174000602,379,25,PEM,010670302003
10174000603,858,46,PE,010670305003
10174000604,412,26,H,010670305003
10174000605,576,29,MH,010670305002
10176000606,888,58,E,010730107051
10176000607,726,47,PE,010730107061
10176000608,1330,105,H,010730129141
10176000609,926,60,M,010730107011
10176000610,501,34,E,010730107032
10177000611,399,25,H,010690419005
10177000612,398,22,MH,010690420001
10177000614,322,20,MH,010690417001
10177000615,788,37,H,010690421003
10177000616,461,30,PEM,010690416003
10177000617,471,26,MH,010690401003
10177001668,625,38,PE,010690419004
10177002077,626,29,M,010690421003
10177002078,1174,63,PE,010690421003
10177002506,239,9,EMH,010690401003
10177002507,606,32,PEM,010690401003
10177002508,481,29,PEM,010690420001
10177002511,293,17,M,010690419005
10180000533,684,37,PE,010890109012
10180000618,635,37,PEM,010890017002
10180000620,388,22,PE,010890012003
10180000621,399,20,PE,010890028013
10180000622,145,10,PE,010890009012
10180000623,464,29,PE,010890002011
10180000624,299,19,PE,010890007012
10180000628,338,18,PE,010890028021
10180000629,1974,94,H,010890027222
10180000630,371,19,PEM,010890006012
10180000631,1826,99,H,010890020003
10180000632,418,22,M,010890031003
10180000634,456,26,PEM,010890019031
10180000635,459,25,PEM,010890003011
10180000636,840,45,H,010890009013
10180000638,528,25,PE,010890024002
10180000639,263,18,PEM,010890018013
10180000640,227,13,PEM,010890007021
10180000642,324,18,PE,010890029111
10180000643,511,29,PE,010890023002
10180000644,483,19,PEM,010890003021
10180000650,432,19,PEM,010890005011
10180000651,481,32,PE,010890029113
10180000653,334,23,PE,010890026002
10180001374,403,27,H,010890030002
10180001527,368,22,M,010890009012
10180001529,515,28,PE,010890111001
10180001530,419,24,M,010890029111
10180001531,539,28,M,010890026002
10180001651,954,53,H,010890014022
10180001773,503,28,PE,010890029213
10180001774,438,26,M,010890029213
10180001796,521,29,PE,010890112004
10180002093,735,35,M,010890109012
10180002146,548,32,M,010890112004
10180002172,848,47,PE,010890106223
10180002173,964,52,PE,010890109013
10180002379,414,18,M,010890007012
10180002419,843,46,H,010890003021
10180002425,611,31,PEM,010890012001
10180002478,239,17,M,010890005031
10180002484,453,25,M,010890111001
10180002486,182,14,M,010890007012
10183000654,174,10,PE,010719502002
10183000655,122,5,EM,010719502004
10183000656,132,6,PEM,010719501002
10183000657,224,12,PEM,010719511003
10183000658,127,6,PEM,010719501005
10183000659,183,11,PEM,010719506002
10183000662,692,35,PEMH,010719501003
10183000666,156,5,PEM,010719510001
10183000667,563,29,PEMH,010719511002
10183000668,567,28,PEMH,010719504003
10183000671,484,25,PEMH,010719505001
10183001532,619,29,PEMH,010719510003
10183001533,354,20,PE,010719503002
10183001534,255,13,EM,010719503005
10183001674,130,6,PEM,010719511005
10183001751,418,21,H,010719503001
10186000672,970,51,PEM,010150021033
10186000673,782,48,MH,010150021033
10189000674,636,32,EM,011270202002
10189000675,375,22,E,011270202002
10189000677,526,26,PE,011270204001
10189000678,814,54,H,011270203004
10189002434,419,25,M,011270204001
10192000469,1361,74,H,010730111113
10192000472,1032,56,M,010730111113
10192000483,667,37,PE,010730142034
10192000681,302,18,PE,010730121042
10192000684,563,30,PE,010730115001
10192000687,728,40,M,010730121032
10192000689,746,37,M,010730117032
10192000691,365,18,PEM,010730138012
10192000692,187,11,E,010730121033
10192000694,618,39,PE,010730118043
10192000695,854,38,PE,010730118024
10192000696,632,34,PE,010730111113
10192000697,397,19,PE,010730140011
10192000698,504,30,H,010730115001
10192000699,588,27,PE,010730124023
10192000701,502,28,E,010730118041
10192000702,774,49,H,010730118041
10192000703,982,54,PEM,010730120022
10192000704,635,32,MH,010730119012
10192000705,677,38,PE,010730117032
10192000706,1047,60,H,010730117032
10192000710,697,37,PE,010730142041
10192000716,481,27,E,010730139022
10192000717,1210,51,H,010730140021
10192000718,450,21,PE,010730126022
10192000720,681,35,E,010730113021
10192000724,259,13,E,010730105002
10192000725,1162,66,H,010730142034
10192000727,409,24,PE,010730125003
10192000728,861,48,H,010730113021
10192000729,309,17,PE,010730116002
10192000730,653,34,PE,010730100021
10192000732,744,43,MH,010730141024
10192000733,801,42,PE,010730112051
10192000734,1029,57,H,010730112062
10192000735,789,45,M,010730100023
10192000736,616,36,PEM,010730123053
10192000737,729,38,MH,010730123055
10192000740,386,21,PE,010730117052
10192000744,1200,59,H,010730127011
10192000749,551,34,PE,010730114002
10192000750,94,7,PEM,010730122001
10192001453,570,32,PE,010730141024
10192001539,418,22,PE,010730127014
10192001542,606,33,E,010730113011
10192001543,667,37,M,010730112061
10192001680,192,17,PEMH,010730113022
10192001752,915,52,H,010730124023
10192002079,666,28,M,010730113021
10192002117,467,26,M,010730127011
10192002166,854,45,M,010730142034
10192002174,439,21,EM,010730114004
10192002182,617,30,M,010730118041
10192002421,306,20,M,010730123053
10192002495,708,37,PE,010730118024
10192002496,254,17,EMH,010730107022
10195000756,714,39,PEMH,010750300003
10195000757,278,18,PE,010750301004
10195001511,605,32,EMH,010750301004
10195001720,604,35,PEMH,010750302002
10198000759,235,15,H,010179545003
10198000760,155,7,M,010179545003
10198001544,573,34,PEM,010179545002
10201000764,755,40,MH,010770116042
10201000765,603,40,MH,010770114003
10201000767,543,29,MH,010770118022
10201000770,350,21,MH,010770117003
10201000772,555,33,MH,010770116022
10201000773,325,20,PEM,010770111021
10201000774,340,22,PEMH,010770113001
10201000775,671,39,MH,010770115021
10201001545,903,48,PEM,010770116032
10201002547,714,39,PEM,010770114003
10201002548,705,38,PEM,010770118022
10201002549,435,26,PEM,010770117003
10201002550,604,33,PEM,010770116022
10201002551,577,33,PEM,010770115021
10204000778,419,23,EM,010799795002
10204000779,439,22,PEM,010799793002
10204000780,543,33,MH,010799793002
10204000781,192,14,PEM,010799792002
10204000783,613,36,H,010799798001
10204000785,644,45,PE,010799794002
10204000786,509,28,EM,010799794002
10204000787,122,9,PEM,010799799001
10204000788,180,12,PEM,010799797001
10204001410,546,35,PE,010799795002
10204001546,474,28,H,010799795002
10204002211,17,2,H,010799795002
10207000284,769,46,PE,010810421023
10207000285,705,45,PEM,010810418002
10207000290,334,19,PEM,010810410002
10207000296,645,42,PEM,010810420061
10207000486,815,48,PEM,010810420061
10207000790,555,42,H,010810421023
10207000791,533,36,MH,010810418002
10207000792,237,23,MH,010810410002
10207000793,545,32,EM,010810421012
10207000794,870,52,PEM,010810420061
10207000795,1286,77,H,010810420061
10207000796,934,51,M,010810420061
10207002188,621,33,PEM,010810419003
10207002197,463,27,H,010810420061
10210000797,993,46,MH,010830201023
10210000799,554,29,MH,010830204013
10210000800,1282,55,MH,010830208022
10210000802,363,22,PE,010830201012
10210000805,646,43,PE,010830203001
10210000806,203,13,PE,010830202012
