# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
2448
29047 549 56 4
29049 58 5 1
29051 217 23 2
29055 25 6 1
29065 25 0 1
29071 140 19 1
29073 14 0 1
29075 12 0 1
29077 1337 218 3
29079 10 0 1
29081 12 0 1
29083 47 7 1
29091 106 12 2
29093 6 0 1
29095 2113 246 10
29097 658 76 4
29099 369 28 2
29101 44 8 1
29105 51 13 1
29107 25 0 1
29109 16 0 1
29113 23 4 1
29115 15 0 1
29117 25 4 1
29121 25 0 1
29123 17 0 1
29127 99 12 1
29143 103 12 1
29145 8 0 1
29147 27 0 1
29155 15 0 1
29157 25 0 1
29159 72 9 1
29161 148 14 1
29163 10 0 1
29165 85 9 1
29167 85 10 1
29171 15 0 1
29175 38 5 1
29177 25 0 1
29183 514 39 5
29185 12 0 1
29187 87 8 2
29189 3210 347 10
29195 28 7 1
29199 14 0 1
29207 36 0 1
29211 12 0 1
29213 96 16 1
29215 55 4 1
29217 21 0 1
29221 15 0 1
29510 1869 265 6
30001 18 0 1
30003 17 0 1
30007 26 0 1
30009 10 0 1
30011 25 0 1
30013 276 21 2
30015 50 0 2
30017 25 5 1
30019 25 0 1
30021 25 0 1
30023 36 0 1
30025 5 0 1
30027 29 0 1
30029 181 30 2
30031 102 20 2
30033 25 0 1
30035 20 0 1
30039 25 0 1
30041 26 6 1
30047 48 0 2
30049 123 8 1
30051 25 0 1
30053 20 0 1
30055 5 0 1
30057 17 0 2
30059 25 0 1
30061 25 0 1
30063 338 39 2
30065 25 0 1
30067 22 0 1
30071 6 0 1
30073 15 0 1
30077 16 0 1
30079 25 0 1
30081 30 0 1
30083 27 0 1
30085 67 0 3
30087 8 0 1
30089 16 0 1
30091 19 0 1
30093 75 11 1
30095 16 0 1
30097 25 0 1
30099 5 0 1
30101 21 0 1
30105 25 0 1
30107 25 0 1
30111 580 53 3
31001 32 10 1
31003 12 0 1
31011 17 0 1
31013 23 0 1
31015 6 0 1
31017 6 0 1
31019 177 25 2
31023 9 0 1
31029 8 0 1
31031 10 0 1
31033 25 4 1
31037 7 0 1
31039 25 0 1
31041 16 0 2
31045 22 0 1
31047 55 0 3
31053 35 8 1
31055 1828 237 13
31057 12 0 1
31059 12 0 1
31065 20 0 1
31067 22 0 1
31069 7 0 1
31079 119 14 2
31081 10 0 1
31083 11 0 1
31089 21 0 2
31093 8 0 1
31095 13 0 1
31097 18 0 1
31099 10 0 1
31101 18 0 1
31105 7 0 1
31107 10 0 1
31109 825 90 5
31111 62 0 1
31119 64 17 1
31121 9 0 1
31123 10 0 1
31125 8 0 1
31127 16 0 1
31129 17 0 1
31131 28 0 2
31133 11 0 1
31135 10 0 1
31137 25 4 1
31139 17 0 2
31141 34 9 1
31143 9 0 1
31145 15 0 1
31147 15 0 1
31149 7 0 1
31151 12 0 2
31153 89 8 2
31155 16 0 1
31157 188 25 1
31159 24 0 1
31161 12 0 1
31169 15 0 1
31173 14 0 1
31175 16 0 1
31177 10 0 1
31179 10 0 1
31181 12 0 1
31185 33 0 2
32001 25 4 1
32003 5677 639 22
32005 20 4 1
32007 45 7 1
32013 25 0 1
32015 5 0 1
32017 4 0 1
32019 14 0 1
32021 11 0 1
32023 25 0 1
32027 17 0 1
32031 1029 109 6
32033 25 0 1
32510 188 22 2
33001 54 11 1
33003 63 0 2
33005 83 8 1
33007 50 5 3
33009 509 62 5
33011 942 64 5
33013 270 21 3
33015 383 36 3
33017 238 17 2
33019 18 0 1
34001 756 68 3
34003 2548 375 7
34005 742 95 5
34007 2506 446 4
34009 125 16 1
34011 548 56 1
34013 2426 386 8
34015 96 7 1
34017 1048 144 6
34019 201 19 1
34021 619 93 4
34023 2245 285 6
34025 1648 265 5
34027 1552 206 4
34029 1169 176 5
34031 979 171 2
34033 126 12 1
34035 424 46 2
34037 185 16 1
34039 983 118 4
34041 198 28 2
35001 2016 211 8
35005 108 19 2
35006 11 0 1
35007 18 4 1
35009 100 7 1
35013 395 54 4
35015 66 9 2
35017 17 0 1
35019 11 0 1
35025 46 6 2
35027 25 6 1
35028 12 4 1
35029 25 0 1
35031 28 6 1
35035 78 9 1
35037 10 0 1
35039 32 6 1
35041 16 0 1
35043 78 12 1
35045 175 21 1
35047 14 0 1
35049 206 24 2
35051 11 0 1
35053 22 0 1
35055 30 6 1
35059 25 0 1
36001 1078 131 2
36003 56 6 2
36005 3506 359 7
36007 651 51 2
36009 135 14 1
36011 124 19 1
36013 105 6 3
36015 147 20 1
36017 23 5 1
36019 155 12 1
36021 90 6 1
36023 52 7 1
36025 41 0 3
36027 465 38 2
36029 1992 256 7
36031 17 0 1
36033 91 12 2
36035 42 8 1
36037 82 9 1
36043 17 0 1
36045 155 11 3
36047 3702 322 12
36049 25 6 1
36051 45 8 1
36053 53 6 2
36055 2142 228 5
36057 92 8 1
36059 3008 367 8
36061 9874 954 14
36063 185 24 3
36065 439 51 3
36067 1075 183 3
