131 15920
BGR CRW 110
BGR CVG 740
BGR DAY 450
BGR DCA-IAD 5060
BGR DEN 1930
BGR DFW-DAL 2840
BGR DSM 220
BGR DTW 1050
BGR ECP 80
BGR ELP 190
BGR EWR 1440
BGR FAI 10
BGR FAR 70
BGR FAT 80
BGR FCA 70
BGR FLL-MIA 2830
BGR FSD 100
BGR FWA 120
BGR GEG 170
BGR GRR 440
BGR GSO 440
BGR HNL 120
BGR HOU-IAH 2050
BGR HRL 20
BGR ICT 200
BGR IDA 40
BGR ILM 370
BGR IND 830
BGR JAN 110
BGR JAX 1280
BGR JFK-LGA 2510
BGR KOA-ITO 10
BGR LAS 1300
BGR LAX-BUR 2050
BGR LBB 150
BGR LEX 170
BGR LIH 20
BGR LIT 320
BGR MAF 100
BGR MCI 980
BGR MCO 3180
BGR MDT 120
BGR MEM 480
BGR MFE 40
BGR MFR 50
BGR MKE-MS 340
BGR MOB 210
BGR MOT 30
BGR MSO 70
BGR MSP 1030
BGR MSY 1710
BGR MYR 290
BGR OAK 10
BGR OGG 60
BGR OKC 350
BGR OMA 380
BGR ONT 160
BGR ORD-MDW 2450
BGR ORF 1040
BGR PBI 1370
BGR PDX 530
BGR PHL 2640
BGR PHX 2170
BGR PIT 1020
BGR PNS 590
BGR PSP 90
BGR PVD 10
BGR RAP 40
BGR RDU 1330
BGR RIC 600
BGR RNO 80
BGR ROA 170
BGR ROC 370
BGR RSW 1580
BGR SAN 1080
BGR SAT 860
BGR SAV 680
BGR SBA 60
BGR SDF 430
BGR SEA 920
BGR SFO 1290
BGR SGF 90
BGR SHV 120
BGR SJC 100
BGR SLC 570
BGR SMF 360
BGR SNA-LGB 270
BGR SRQ 240
BGR STL 1130
BGR TLH 150
BGR TPA 1720
BGR TUL 180
BGR TUS 450
BGR TYS 700
BGR VPS 250
BGR XNA 220
BGR XWA 20
BHM ABQ 2170
BHM AEX 190
BHM ALB 1350
BHM AMA 550
BHM ANC 960
BHM ATL 1910
BHM ATW 360
BHM AUS 7870
BHM BDL 3310
BHM BGR 380
BHM BIL 460
BHM BIS 250
BHM BNA 180
BHM BOI 1550
BHM BOS 7460
BHM BTV 530
BHM BWI 11330
BHM BZN 1850
BHM CAE 700
BHM CAK 740
BHM CHS 3260
BHM CLE 4400
BHM CLT 10470
BHM CMH 3350
BHM COS 1820
BHM CRP 820
BHM CRW 660
BHM CVG 2510
BHM DAY 880
BHM DCA-IAD 14110
BHM DEN 23260
BHM DFW-DAL 49260
BHM DIK 30
BHM DSM 1370
BHM DTW 11220
BHM ECP 140
BHM ELP 2580
BHM EWR 5090
BHM FAI 170
BHM FAR 400
BHM FAT 960
BHM FCA 760
BHM FLL-MIA 18520
BHM FSD 640
BHM FWA 510
BHM GEG 1400
BHM GFK 80
BHM GRR 2150
BHM GSO 1890
BHM GTF 180
BHM HNL 1290
BHM HOU-IAH 28280
BHM HRL 460
BHM ICT 1270
BHM IDA 270
BHM ILM 1040
BHM IND 2910
BHM JAN 60
BHM JAX 4760
BHM JFK-LGA 14720
BHM JNU 70
BHM KOA-ITO 200
BHM LAS 18910
BHM LAX-BUR 15930
BHM LBB 1220
BHM LEX 660
BHM LIH 130
BHM LIT 900
BHM MAF 1610
BHM MCI 4850
BHM MCO 46180
BHM MDT 1270
BHM MEM 280
BHM MFE 600
BHM MFR 290
BHM MKE-MS 2690
BHM MOB 100
BHM MOT 170
BHM MSO 500
BHM MSP 5570
BHM MSY 1420
BHM MYR 800
BHM OAK 1880
BHM OGG 360
BHM OKC 2530
BHM OMA 2640
BHM ONT 3040
BHM ORD-MDW 20280
BHM ORF 3280
BHM PBI 4230
BHM PDX 3970
BHM PHL 9320
BHM PHX 11780
BHM PIT 4910
BHM PNS 250
BHM PSP 880
BHM PVD 1570
BHM PWM 1420
BHM RAP 680
BHM RDU 6290
BHM RIC 3450
BHM RNO 2130
BHM ROA 760
BHM ROC 690
BHM RSW 3670
BHM SAN 7150
BHM SAT 7640
BHM SAV 1350
BHM SBA 320
BHM SDF 1120
BHM SEA 7020
BHM SFO 6660
BHM SGF 560
BHM SHV 520
BHM SJC 2700
BHM SLC 8060
BHM SMF 4800
BHM SNA-LGB 4140
BHM SRQ 1800
BHM STL 2070
BHM TLH 210
BHM TPA 16470
BHM TUL 2090
BHM TUS 2230
BHM TYS 240
BHM VPS 60
BHM XNA 1220
BHM XWA 90
BIL ABQ 840
BIL AEX 130
BIL ALB 180
BIL AMA 280
BIL ANC 2240
BIL ATL 3720
BIL ATW 140
BIL AUS 1900
BIL BDL 430
BIL BGR 70
BIL BHM 430
BIL BNA 2110
BIL BOI 2290
BIL BOS 1500
BIL BTV 100
BIL BWI 1000
BIL CAE 240
BIL CAK 40
BIL CHS 800
BIL CLE 1000
BIL CLT 1490
BIL CMH 950
BIL COS 580
BIL CRP 300
BIL CRW 90
BIL CVG 900
BIL DAY 260
BIL DCA-IAD 2450
BIL DEN 15750
BIL DFW-DAL 8200
BIL DSM 500
BIL DTW 1640
BIL ECP 200
BIL ELP 350
BIL EWR 1050
BIL FAI 690
BIL FAR 330
BIL FAT 820
BIL FCA 10
